index,section,text,is_burden,part
48,AODA Progressive implementation,"Each standards development committee shall determine an appropriate time-frame for the implementation of the measures, policies, practices and requirements identified under subsection  taking into account, the range of disabilities that the measures, policies, practices and requirements are intended to address; the nature of the barriers that the measures, policies, practices and requirements are intended to identify, remove and prevent; any technical and economic considerations that may be associated with their implementation; and any other consideration required under the committee’s terms of reference.",1,ACCESSIBILITY STANDARDS
49,AODA Time-frame,"The time-frame referred to in subsection  shall enable the measures, policies, practices and requirements identified under subsection  to be implemented in stages according to the following rules: The standards development committee shall fix a target date for the implementation of the measures, policies, practices and requirements that the committee identifies for implementation at the first stage and the target date",0,ACCESSIBILITY STANDARDS
50,AODA Time-frame,shall be no more than five years after the day the committee was established.,0,ACCESSIBILITY STANDARDS
51,AODA Time-frame,"The standards development committee shall fix successive target dates for the implementation of the measures, policies, practices and requirements that the committee identifies for implementation at each of the following stages and each target date shall be no more than five years after the previous target date.",0,ACCESSIBILITY STANDARDS
52,AODA Initial proposed standard,"Within the time period specified by the committee’s terms of reference, each standards development committee shall prepare a proposed accessibility standard and submit it to the Minister for the purposes of making the proposed standard public and receiving comments in accordance with section",0,ACCESSIBILITY STANDARDS
53,AODA Finalizing initial proposed standard,"After considering the comments received under section 10, a standards development committee may make any changes it considers advisable to the proposed accessibility standard and provide the Minister with the proposed accessibility standard within the time period specified by the committee’s terms of reference.",0,ACCESSIBILITY STANDARDS
54,AODA Minister’s response,"No later than 90 days after receiving a proposed accessibility standard under subsection , the Minister shall decide whether to recommend to the Lieutenant Governor in Council that the proposed standard be adopted by regulation under section 6 in whole, in part or with modifications.",0,ACCESSIBILITY STANDARDS
55,AODA Development of subsequent proposed standards,"Within five years after an accessibility standard is adopted by regulation or at such earlier time as the Minister may specify, the standards development committee responsible for the industry, sector of the economy or class of persons or organizations to which the standard applies shall, re-examine the long-term accessibility objectives determined under subsection ; if required, revise the measures, policies, practices and requirements to be implemented on or before January 1, 2025 and the time-frame for their implementation; develop another proposed accessibility standard containing such additions or modifications to the existing accessibility standard as the standards development committee deems advisable and submit it to the Minister for the purposes of making the proposed standard public and receiving comments in accordance with section 10; and make such changes it considers advisable to the proposed accessibility standard developed under clause based on the comments received under section 10 and provide the Minister with the subsequent proposed accessibility standard.",0,ACCESSIBILITY STANDARDS
56,AODA Completion of process,"Subsection  applies with necessary modifications to the development of successive proposed accessibility standards until such time as all the measures, policies and practices and requirements identified under subsection  and by subsequent reviews under clause  are adopted by regulation.",0,ACCESSIBILITY STANDARDS
57,AODA Proposed standards made public,"Upon receiving a proposed accessibility standard from a standards development committee under subsection 9  or clause 9  (c), the Minister shall make it available to the public by posting it on a government internet site and by such other means as the Minister considers advisable.",1,ACCESSIBILITY STANDARDS
58,AODA Comments,"Within 45 days after a proposed accessibility standard is made available to the public in accordance with subsection  or within such other period of time as may be specified by the Minister, any person may submit comments with respect to a proposed accessibility standard to the appropriate standards development committee.",0,ACCESSIBILITY STANDARDS
59,AODA Extension of time for comments,The Minister may extend the time period referred to in subsection  in order to accommodate a person with a disability or for any other reason that the Minister considers appropriate.,0,ACCESSIBILITY STANDARDS
60,AODA Extension of time for comments,"2016, c. 5, Sched.",0,ACCESSIBILITY STANDARDS
61,AODA Extension of time for comments,"1, s. 8.",0,ACCESSIBILITY STANDARDS
62,AODA Progress reports,Each standards development committee shall provide the Minister with periodic reports on the progress of the preparation of the proposed standard as specified in the committee’s terms of reference or as may be required by the Minister from time to time.,1,ACCESSIBILITY STANDARDS
63,AODA Progress reports made public,"Upon receiving a report under subsection , the Minister shall make it available to the public by posting it on a government internet site and by such other means as the Minister considers advisable.",1,ACCESSIBILITY STANDARDS
64,AODA Assistance for standards development committees,"The Minister may retain, appoint or request experts to provide advice to a standards development committee.   ",0,ACCESSIBILITY STANDARDS
65,AODA Assistance for standards development committees,Compliance with Standards and Review of Reports,0,ACCESSIBILITY STANDARDS
66,AODA Compliance with accessibility standard,A person or organization to whom an accessibility standard applies shall comply with the standard within the time period set out in the standard.,0,ACCESSIBILITY STANDARDS
67,AODA Accessibility report,A person or organization to whom an accessibility standard applies shall file an accessibility report with a director annually or at such other times as the director may specify.,1,ACCESSIBILITY STANDARDS
68,AODA Report available to public,A person or organization shall make an accessibility report filed under subsection  available to the public.,1,ACCESSIBILITY STANDARDS
69,AODA Form,An accessibility report shall be in the form approved by the Minister and the Minister may require that the report or a part of the report be provided electronically in a format approved by the Minister.,0,ACCESSIBILITY STANDARDS
70,AODA Content,An accessibility report shall contain such information as may be prescribed.,0,ACCESSIBILITY STANDARDS
71,AODA Certification of accessibility report,"An accessibility report shall include a statement certifying that all the information required to be provided in the report under this Act has been provided and that the information is accurate and the statement shall be signed, if the person preparing the report is an individual, by the individual; and in all other cases, by a director, a senior officer or other responsible person with authority to bind the organization.",1,ACCESSIBILITY STANDARDS
72,AODA Electronic signature,"If an accessibility report is filed in an electronic format approved by the Minister, the requirement that a person sign the report under subsection  shall be met if he or she provides an electronic signature.",1,ACCESSIBILITY STANDARDS
73,AODA Definition,"In subsection , “electronic signature” means a personal identification number (PIN), password, biometric information or any other electronic information that a person creates or adopts to be used in the place of his or her signature to authenticate his or her identity and that is in, attached to or associated with an accessibility report.",0,ACCESSIBILITY STANDARDS
74,AODA Review of director,A director may review an accessibility report filed under section 14 to determine whether it complies with the regulations and whether the person or organization who submitted the report has complied with all applicable accessibility standards.,0,ACCESSIBILITY STANDARDS
75,AODA Other reports and information,"At the request of a director, a person or organization shall provide the director with reports or information relating to the compliance of the person or organization with the accessibility standards.   ",0,ACCESSIBILITY STANDARDS
76,AODA Other reports and information,part iv   inspections,0,ACCESSIBILITY STANDARDS
77,AODA Inspectors,The Deputy Minister shall appoint one or more inspectors for the purposes of this Act and the regulations within a reasonable time after the first accessibility standard is established under section,1,INSPECTIONS
78,AODA Certificate of appointment,The Deputy Minister shall issue to every inspector a certificate of appointment bearing his or her signature or a facsimile of his or her signature.,1,INSPECTIONS
79,AODA Production of certificate,An inspector carrying out an inspection under section 19 shall produce his or her certificate of appointment upon request.,0,INSPECTIONS
80,AODA Inspections without warrant,An inspector may carry out an inspection under this Act for the purpose of determining whether this Act and the regulations are being complied with.,0,INSPECTIONS
81,AODA Entry,"In the course of carrying out an inspection, an inspector may, without warrant, enter any lands or any building, structure or premises where the inspector has reason to believe there may be documents or things relevant to the inspection.",0,INSPECTIONS
82,AODA Time of entry,"The power to enter and inspect a place without a warrant may be exercised only during the place’s regular business hours or, if it does not have regular business hours, during daylight hours.",0,INSPECTIONS
83,AODA Dwellings,An inspector shall not enter into a place or part of a place that is a dwelling without the consent of the occupant.,0,INSPECTIONS
84,AODA Powers,"A warrant obtained under subsection  may authorize an inspector named in the warrant, upon producing his or her appointment, to enter any place specified in the warrant, including a dwelling; and to do any of the things specified in the warrant.",0,INSPECTIONS
85,AODA Written demand,"A demand that a document, record or thing be produced for inspection must be in writing and must include a statement of the nature of the document, record or thing required.",1,INSPECTIONS
86,AODA Assistance,"An inspector may be accompanied by any person who has special, expert or professional knowledge and who may be of assistance in carrying out the inspection.",0,INSPECTIONS
87,AODA Use of force prohibited,An inspector shall not use force to enter and inspect premises under this section.,0,INSPECTIONS
88,AODA Obligation to produce and assist,"A person who is required to produce a document, record or thing under clause  shall produce it and shall, on request by the inspector, provide any assistance that is reasonably necessary, including assistance in using any data storage, processing or retrieval device or system, to produce a document or record in readable form.",0,INSPECTIONS
89,AODA Return of removed things,"An inspector who removes any document, record or thing from a place under clause  shall, make it available to the person from whom it was removed, on request, at a time and place convenient for both the person and the inspector; and return it to the person being inspected within a reasonable time.",0,INSPECTIONS
90,AODA Admissibility of copies,A copy of a document or record certified by an inspector to be a true copy of the original is admissible in evidence to the same extent as the original and has the same evidentiary value.,0,INSPECTIONS
91,AODA Search warrant,"Upon application made without notice by an inspector appointed under this Act, a justice of the peace may issue a warrant, if he or she is satisfied on information under oath or affirmation that there is reasonable ground for believing that, a person has contravened or is contravening this Act or the regulations; and there are in any building, dwelling, receptacle or place any documents, records or other things relating to a contravention of this Act or the regulations.",0,INSPECTIONS
92,AODA Conditions on search warrant,A warrant obtained under subsection  shall contain such conditions as the justice of the peace considers advisable to ensure that any search authorized by the warrant is reasonable in the circumstances.,0,INSPECTIONS
93,AODA Expert help,"The warrant may authorize persons who have special, expert or professional knowledge to accompany and assist the inspector in respect of the execution of the warrant.",0,INSPECTIONS
94,AODA Time of execution,"An entry under a warrant issued under this section shall be made between 6 a.m. and 9 p.m., unless the warrant specifies otherwise.",0,INSPECTIONS
95,AODA Expiry of warrant,"A warrant issued under this section shall name a date of expiry, which shall be no later than 30 days after the warrant is issued, but a justice of the peace may extend the date of expiry for an additional period of no more than 30 days, upon application without notice by the inspector named in the warrant.",0,INSPECTIONS
96,AODA Use of force,The inspector named in the warrant may call upon police officers for assistance in executing the warrant and the inspector may use whatever force is reasonably necessary to execute the warrant.,0,INSPECTIONS
97,AODA Obstruction prohibited,"No person shall, obstruct an inspector carrying out an inspection under a warrant issued under this section; refuse to answer questions on matters relevant to the inspection; provide the inspector with information on matters relevant to the inspection that the person knows to be false or misleading; or withhold from the inspector any information that is relevant to the inspection.",0,INSPECTIONS
98,AODA Determination of applicable standard,"For the purposes of determining whether an accessibility standard applies to a person or organization, a director may order that, the person or organization be treated as being part of a particular industry, sector of the economy or class of persons or organizations; and two or more persons or organizations be treated as one person or organization.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
99,"AODA Compliance order, reporting requirements","If a director concludes that a person or organization has contravened section 14 or 17, the director may, by order, require the person or organization to do any or all of the following: File an accessibility report that complies with the requirements under this Act within the time specified in the order, subject to subsection .",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
100,"AODA Compliance order, reporting requirements","Provide the director with such reports or information as may be required under section 17 within the time specified in the order, subject to subsection .",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
101,"AODA Compliance order, reporting requirements","Subject to subsection , pay an administrative penalty in accordance with the regulations.  ",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
102,"AODA Compliance order, reporting requirements","2005, c. 11, s. 21 ; 2016, c. 5, Sched.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
103,"AODA Compliance order, reporting requirements","1, s. 2 .",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
104,"AODA Same, standards and regulations","If a director concludes that a person or organization has contravened a provision of an accessibility standard or of any other regulation, the director may, by order, require the person or organization to do either or both of the following: Comply with the accessibility standard or other regulation within the time specified in the order, subject to subsection .",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
105,"AODA Same, standards and regulations","Subject to subsection , pay an administrative penalty in accordance with the regulations.  ",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
106,"AODA Same, standards and regulations","2005, c. 11, s. 21 ; 2016, c. 5, Sched.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
107,"AODA Same, standards and regulations","1, s. 2 .",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
108,AODA Extension of time for compliance,The director who made an order under subsection  may extend the time period referred to in paragraph 1 of that subsection in order to accommodate a person with a disability or for any other reason that the director considers appropriate.,0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
109,AODA Extension of time for compliance,"2016, c. 5, Sched.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
110,AODA Extension of time for compliance,"1,",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
111,AODA Extension of time for compliance,s. 6 .,0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
112,AODA Failure to comply with previous order,"If a person or organization fails to comply with an order made under subsection  or  within the time specified in the order and no appeal of the order is made within the time specified in subsection 27 , a director may, subject to subsection , make an order requiring the person or organization to pay an administrative penalty in accordance with the regulations.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
113,AODA Administrative penalties,"A regulation under clause  may, prescribe the amount of an administrative penalty or provide for the determination of the amount of the penalty by prescribing the method of calculating the amount and the criteria to be considered in determining the amount; provide for different amounts to be paid, or different calculations or criteria to be used, depending on the circumstances that gave rise to the administrative penalty or the time at which the penalty is paid; provide for the payment of lump sum amounts and of daily amounts, prescribe the circumstances in which either or both types of amounts may be required; prescribe the maximum amount that a person or organization may be required to pay, whether a lump-sum amount or a daily amount, and, in the case of a daily amount, prescribe the maximum number of days for which a daily amount may be payable; specify types of contraventions or circumstances in respect of which an administrative penalty may not be ordered; prescribe circumstances in which a person or organization is not required to pay an administrative penalty ordered under this Act; provide for the form and content of an order requiring payment of an administrative penalty and prescribe information to be included in the order; provide for the payment of administrative penalties, prescribe the person or entity to which the penalty is to be paid and provide for the investment of money received from administrative penalties, including the establishment of a special fund, and the use of such money and interest earned thereon; prescribe procedures relating to administrative penalties.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
114,AODA Content of order,"An order under this section shall, in the case of an order under subsection , inform the person or organization of the nature of the order and of the reasons for the order; in the case of an order under subsections ,  and , contain a description of the contravention to which the order relates and, in the case of an order under subsection , identify the previous order to which that order relates, (ii) inform the person or organization of what must be done in order to comply with the order, and (iii) specify the time within which the person or organization must comply with the order; and inform the person or organization of the right to appeal the order to the Tribunal under section  2005, c. 11, s. 21 ; 2016, c. 5, Sched.",1,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
115,AODA Content of order,"1, s. 2 .",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
116,AODA Content of order,"Section Amendments with date in force (d/m/y) 2016, c. 5, Sched.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
117,AODA Content of order,"1, s. 2 (1-3) -",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
118,AODA Content of order,19/04/2016,0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
119,AODA Notice of order,"A director shall not make an order under section 21 unless, before doing so, he or she gives notice of the order to the person or organization that is the subject of the proposed order and gives the person or organization an opportunity to make submissions with respect to the proposed order in accordance with this section.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
120,AODA Content of notice,"The notice shall inform the person or organization, of the nature of the order that the director proposes to make; of the steps that the person or organization must take in order to comply with the order; of the right of the person or organization to make written submissions to the director explaining the alleged failure to comply; and of the time within which the submissions must be made.",1,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
121,AODA Written submissions,"The person or organization that receives notice under this section may make written submissions to the director to explain any alleged contravention of section 14 or 17, of an accessibility standard or of any other regulation within 30 days of the day notice is received or within the further time that is specified in the notice or that the director specifies in order to accommodate a person with a disability or for any other reason that the director considers appropriate.  ",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
122,AODA Written submissions,"2005,",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
123,AODA Written submissions,"c. 11, s. 22 ; 2016, c. 5, Sched.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
124,AODA Written submissions,"1,",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
125,AODA Written submissions,"s. Section Amendments with date in force (d/m/y) 2016, c. 5, Sched.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
126,AODA Written submissions,"1,",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
127,AODA Written submissions,s. 3 - 19/04/2016,0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
128,AODA Enforcement of administrative penalties,"If a person or organization fails to comply with an order to pay an administrative penalty within the time specified in the order and no appeal of the order is made within the time specified in subsection 27 , the order may be filed with a local registrar of the Superior Court of Justice and may be enforced as if it were an order of the court.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
129,AODA Failure to pay after appeal,Subsections  and  apply with necessary modifications to an order of the Tribunal requiring a person or organization to pay an administrative penalty.,0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
130,AODA Stay where appeal,"If a person or organization gives notice of appeal of an order to pay an administrative penalty within the time specified in subsection 27 , the requirement to pay is stayed until the disposition of the appeal.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
131,AODA No hearing required prior to order,A director is not required to hold a hearing or to afford a person or organization an opportunity for a hearing before making an order under section,0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
132,"AODA Order reviewed, etc.","Within a reasonable time after making an order under section 21, a director may review the order and vary or rescind it.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
133,AODA Extension of time for review,The director who made an order under section 21 may extend the time referred to in subsection  if the director is of the opinion that doing so is necessary in order to accommodate a person with a disability or advisable for any other reason that the director considers appropriate.,0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
134,AODA Extension of time for review,"2016, c. 5, Sched.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
135,AODA Extension of time for review,"1,",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
136,AODA Extension of time for review,"s. Section Amendments with date in force (d/m/y) 2016, c. 5, Sched.",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
137,AODA Extension of time for review,"1, s. 4 - 19/04/2016 part vi   appeals to Tribunal",0,DIRECTOR’S ORDERS AND ADMINISTRATIVE PENALTIES
138,AODA Designation of tribunals,"The Lieutenant Governor in Council shall, by regulation, designate one or more tribunals for the purposes of this Act and of the regulations within a reasonable time after the first accessibility standard is established under section",1,APPEALS TO TRIBUNAL
139,AODA Responsibility of tribunals,Each tribunal designated under subsection  shall be responsible for hearing such matters arising under this Act as are specified in the designation.,0,APPEALS TO TRIBUNAL
140,AODA Powers and duties,"A director shall perform such duties and exercise such powers as may be specified in this Act or the regulations, subject to such conditions and restrictions as may be set out in the appointment.",0,APPEALS TO TRIBUNAL
141,AODA Appeals to Tribunal,"A person or organization that is the subject of an order made by a director under section 21, 25 or subsection 33  may appeal the order by filing a notice of appeal with the Tribunal within 15 days after the day the order is made.",0,APPEALS TO TRIBUNAL
142,AODA Extension of time by Tribunal,The Tribunal may extend the time period specified in subsection  for appealing an order made under section 21 or 25 or subsection 33  in order to accommodate a person with a disability or for any other reason that the Tribunal considers appropriate.,0,APPEALS TO TRIBUNAL
143,AODA Extension of time by Tribunal,"2016, c. 5, Sched.",0,APPEALS TO TRIBUNAL
144,AODA Extension of time by Tribunal,"1, s. 5.",0,APPEALS TO TRIBUNAL
145,AODA Notice of appeal,A notice of appeal shall be in a form approved by the Tribunal and shall contain the information required by the Tribunal.,1,APPEALS TO TRIBUNAL
146,AODA Filing fee,A person or organization that appeals an order to the Tribunal shall pay the prescribed filing fee.,1,APPEALS TO TRIBUNAL
147,AODA Hearing,The Tribunal shall hold a written hearing with respect to an appeal under subsection  unless a party satisfies the Tribunal that there is good reason to hear oral submissions.,1,APPEALS TO TRIBUNAL
148,AODA Panels,"Despite the requirement of any other Act, the chair of the Tribunal may appoint a panel of one or more persons to hold hearings under this Act in the place of the full Tribunal and the panel has all the powers and duties of the Tribunal under this Act.",0,APPEALS TO TRIBUNAL
149,AODA Parties to appeal,"The parties to an appeal to the Tribunal are, the person or organization that made the appeal to the Tribunal; the director who made the order; and any other person or organization that the Tribunal considers necessary for the proper conduct of the hearing.",0,APPEALS TO TRIBUNAL
150,AODA Order of Tribunal,"After holding a hearing into the matter, the Tribunal may confirm, vary or rescind an order of the director.   ",0,APPEALS TO TRIBUNAL
